id,bid,user_id,用户昵称,微博正文,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4497023811947222,IEI218ayO,5730795955,谁家美人儿,时间越长越没结果的感情，那才是烂透了。阿沁的5年阚清子的8年，周扬青的9年叶子的10年。图啥？？真真搞不懂。既然都知道了对方就是个渣男，为什么还要欺骗自己。真是自作自受。梁静茹的歌里唱道“离开错的才能和对的相逢”。可能只是觉得浪费的青春有点可惜，并不是因为这渣男吧。有时候，陪男孩长大就是一场豪赌，输得一塌糊涂的人那么多，你凭什么觉得自己能赢。#罗志祥周扬青分手#我确定以后再也不粉他了。烂人！！,,,罗志祥周扬青分手,0,0,3,2020-04-23 23:58,iPhone客户端,,,
4497023757204016,IEI1Vue5O,5785062280,这里是昕爷_,人生最难能可贵的是极度自律是幡然醒悟是悬崖勒马是及时止损人生太苦了就请放过自己我知道这不好受可是再这样下去你的一生真的要毁掉了#罗志祥周扬青分手##会笑的抑郁症患者#,,,"罗志祥周扬青分手,会笑的抑郁症患者",1,0,0,2020-04-23 23:57,美图T9我的智能摄影师,,,
4497023736967310,IEI1TtevY,2558913870,晨晨晨晨晨晨晨黄,看完421我整个人都惊呆了#罗志祥##罗志祥周扬青分手#,,,"罗志祥,罗志祥周扬青分手",0,2,0,2020-04-23 23:57,🍊iPhone XS Max,['http://ww3.sinaimg.cn/large/9885ed4egy1ge454t3r41j20yi22ok8z.jpg'],,
4497039356413887,IEIr5qUxN,1989693663,妖念nian,做人还是不要太天真，#罗志祥周扬青分手#都分手了，彭彭居然开始恋爱了？娱乐圈的情侣能够坚持多久，吃完421页事件PDF这个瓜我被晕，今天的瓜实在太多了L用户1587214061062的秒拍视频,,,罗志祥周扬青分手,0,0,0,2020-04-24 00:59,微博 weibo.com,,"http://miaopai.video.weibocdn.com/f76odkrilx07CJr8WjJu0104120008u70E013.mp4?label=mp4_ld&template=360x448.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751523&ssig=OApe7lJq0%2B&KID=unistore,video",
4497039318468873,IEIr1zx8J,2199108037,光头郑林,#罗志祥周扬青分手#罗志祥真的都有错吗？不是的，他告诉了我们一个朴实无华的道理，时间就像海绵里的水，挤挤总是会有的！,开封·尉氏县,,罗志祥周扬青分手,2,4,6,2020-04-24 00:59,iPhone XS Max,['http://ww3.sinaimg.cn/large/8313b9c5ly1ge46xymrfjj20yi22o7wi.jpg'],,
4497039301409635,IEIr05UI3,5835586743,不南昌大学医学院不改名,#罗志祥周扬青分手#华农兄弟正义执法,,,罗志祥周扬青分手,0,0,1,2020-04-24 00:59,iPhone客户端,"['http://ww1.sinaimg.cn/large/006mVwGPgy1ge46we2wqvj30ku0cpgn4.jpg', 'http://ww4.sinaimg.cn/large/006mVwGPgy1ge46xo6dfbj30kg0pedj6.jpg']",,
4497039272547236,IEIqXaGEs,5379683012,人间值得惊鸿宴1,#罗志祥周扬青分手#周扬青和阿沁都告诉了我们上错了车别因为投了太多币而坐过了站希望你懂得再见就再见没了就没了,,,罗志祥周扬青分手,0,0,1,2020-04-24 00:59,iPhone客户端,,,
4497039192556354,IEIqPaJ1w,5795012490,独行神驴,#罗志祥周扬青分手#看来我得买一瓶马应龙痔疮膏去去黑眼圈了，要不以后都不好找对象了，我丢~,,,罗志祥周扬青分手,0,0,0,2020-04-24 00:59,iPhone客户端,,,
4497039179936177,IEIqNFGQV,6198084116,Yoci_liang,#罗志祥周扬青分手#我祝福你哈哈哈哈哈哈LYoci_liang的微博视频,,,罗志祥周扬青分手,0,0,0,2020-04-24 00:59,iPhone客户端,,"http://f.video.weibocdn.com/0043AxfCgx07CJrAoW92010412004jVZ0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=647b8232579b0b23561398fc756ef4ae&Expires=1587751523&ssig=hfeWVneF%2Fd&KID=unistore,video",
4497039167100958,IEIqMtNhA,3156498515,嘉惠吖C,去LoveShowcat微博搜男朋友，有点瓜哦🍉#罗志祥周扬青分手##罗志祥化妆师##罗志祥#,,,"罗志祥周扬青分手,罗志祥化妆师,罗志祥",2,17,33,2020-04-24 00:59,iPhone客户端,,,
4497039121652067,IEIqI6VMf,2248069135,要成为自己的光啊_,421吃瓜#罗志祥周扬青分手##罗志祥手机#综合421页pdf链接一大清早就被「罗志祥手机」娱乐圈的瓜太大我吃不下了，想搬好小板凳慢慢看的姐妹快来！,,,"罗志祥周扬青分手,罗志祥手机",0,32,5,2020-04-24 00:59,421吃瓜超话,"['http://ww4.sinaimg.cn/large/85fed00fgy1ge46x28pooj20oo1hcjv9.jpg', 'http://ww3.sinaimg.cn/large/85fed00fgy1ge46x2negcj20oo1hc76i.jpg', 'http://ww1.sinaimg.cn/large/85fed00fgy1ge46x35rc3j20oo1hctb4.jpg', 'http://ww3.sinaimg.cn/large/85fed00fgy1ge46x4sejqj20oo1hc0w6.jpg', 'http://ww4.sinaimg.cn/large/85fed00fgy1ge46x5dztoj20n01dsh8p.jpg', 'http://ww4.sinaimg.cn/large/85fed00fgy1ge46x1pk7sj20n01dswxg.jpg', 'http://ww4.sinaimg.cn/large/85fed00fgy1ge46x4dfyyj20j615hwiu.jpg']",,
4497039116894941,IEIqHsVGJ,5336835274,寂寞寂寞就好吧,好的恋情好的婚姻一定是男方把女方捧在手心里，男方比女方更加主动更加在乎这段感情。#罗志祥周扬青分手#,,,罗志祥周扬青分手,0,0,0,2020-04-24 00:58,iPhone客户端,,,
4497039087999952,IEIqExz9u,6128613951,搞笑菱,幸福归来心机女整死灰姑娘，要把她送警察局，怎料却被总裁截胡#罗志祥曾截胡欧弟女友##罗志祥周扬青分手#L搞笑菱的微博视频,,,"罗志祥曾截胡欧弟女友,罗志祥周扬青分手",0,0,0,2020-04-24 00:58,微博云剪,,"http://f.video.weibocdn.com/ti8kIZJ3lx07CJrz0tY401041200wXQG0E010.mp4?label=mp4_ld&template=648x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751523&ssig=shgjsMWj0x&KID=unistore,video",
4497039050054002,IEIqB0e30,5644867424,六元素丸子,#罗志祥周扬青分手#不知道该用什么表情，罗志祥周扬青这个瓜吃的太难受了，颠倒三观，看完了以后更是刷新了我认知，里面很多都揭露了娱乐圈真像，集美们一起来看吧,,,罗志祥周扬青分手,0,0,0,2020-04-24 00:58,荣耀V20 4800万3D相机,"['http://ww1.sinaimg.cn/large/006a1hSMgy1ge46wlzrjjj30u01s6wp9.jpg', 'http://ww3.sinaimg.cn/large/006a1hSMgy1ge46woago9j30u01s6wov.jpg', 'http://ww3.sinaimg.cn/large/006a1hSMgy1ge46wrr1kij30u01s6gwn.jpg', 'http://ww4.sinaimg.cn/large/006a1hSMgy1ge46wteygsj30u01s60zr.jpg', 'http://ww4.sinaimg.cn/large/006a1hSMgy1ge46wtvtcmj30u01s6gn2.jpg', 'http://ww3.sinaimg.cn/large/006a1hSMgy1ge46wux1osj30u0140dka.jpg']",,
4497039024814932,IEIqykcAc,3643301913,阿姜一米二七_,“终于不用为了你看懂一直打繁体了”.#罗志祥周扬青分手#,太原·太原理工大学,,罗志祥周扬青分手,0,2,4,2020-04-24 00:58,iPhone客户端,['http://ww3.sinaimg.cn/large/d9286019ly1ge46wm424hj21sg2ds4qp.jpg'],,
4497235595683908,IENxBnQDW,1611544100,多伦多蛋糕diycakestudio,#罗志祥周扬青分手#太劲爆了没想到O罗志祥周扬青分手，对于这个瓜你怎么看?,,,罗志祥周扬青分手,0,0,0,2020-04-24 13:59,,,,
4497235577981062,IENxzxueO,1219078160,lilihongxinglai,"经纪人为罗志祥辩护：别当键盘侠公众人物也是人经纪人为罗志祥辩护：别当键盘侠公众人物也是人周扬青,罗志祥,分手（分享自@网易娱乐频道）O经纪人为罗志祥辩护：别当键盘侠公众人物也是人",,网易娱乐频道,,0,0,0,2020-04-24 13:59,网易娱乐,,,
4497235570408591,IENxz1Iib,6154311717,zhanglixin修越,发布了头条文章：《罗志祥凭什么骗周扬青这么久？周扬青凭什么靠分手圈粉？》O罗志祥凭什么骗周扬青这么久？周扬青凭什么靠分手圈粉？,,,,0,0,0,2020-04-24 13:59,微博 weibo.com,,,
4497235565734449,IENxyo3N7,6581765923,内涵朔,全网最亏的网红，想不到南宁罗志祥这么快就凉了！#罗志祥回应##罗志祥周扬青分手#L内涵朔的微博视频,,,"罗志祥回应,罗志祥周扬青分手",0,0,0,2020-04-24 13:59,微博云剪,,"http://f.video.weibocdn.com/WuivnBwFlx07CKjbimFG010412002TvO0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1587751530&ssig=U61IILhxKT&KID=unistore,video",
4497235527720799,IENxuwox1,1745005507,Jared_Ming,奥利给老铁#421页pdf链接#吃瓜上头！我的三观碎一地啊！夏天到了瓜棚的生意爆火了！！贵圈真乱呀#罗志祥周扬青分手##罗志祥回应#这个瓜简直刷新我认知额一大早惊呆啦。去年发的421竟然是真的，我都还没有看完还有其他的瓜搬好小板凳集美们，一起吃瓜吧又一次刷新认知了分享视频L用户1587297437187的秒拍视频,,,"罗志祥周扬青分手,罗志祥回应",0,1,0,2020-04-24 13:59,微博 weibo.com,,"http://miaopai.video.weibocdn.com/KVSHg90Xlx07CJv2OCxW010412000GLJ0E013.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751530&ssig=u72XA31OMn&KID=unistore,video",
4497235524098267,IENxuhc95,5472804159,可爱的九七哟,412页娱乐圈神瓜，白龙王事件。简直叹为观止啊。突然对眼袋大的人有莫名联想。。。要看八卦的私信我，哈哈哈，免费#罗志祥周扬青分手##罗志祥#,,,"罗志祥周扬青分手,罗志祥",0,213,425,2020-04-24 13:59,HUAWEI nova 3e,"['http://ww1.sinaimg.cn/large/005YnkmPly1ge4th5sa79j30iq0fh0uc.jpg', 'http://ww2.sinaimg.cn/large/005YnkmPly1ge4th3t5g7j30u01sygt5.jpg', 'http://ww3.sinaimg.cn/large/005YnkmPly1ge4th45bxyj30rg0qi41q.jpg', 'http://ww3.sinaimg.cn/large/005YnkmPly1ge4th4qo2hj30u01rck2w.jpg', 'http://ww4.sinaimg.cn/large/005YnkmPly1ge4th5bxwij30u01rcgyj.jpg']",,
4497235511257121,IENxt5h29,5805045961,大宝贝LaiGuanLin,吃瓜吃瓜呀#412页pdf#吃瓜上头！我的三观碎一地啊！夏天到了瓜棚的生意爆火了！！圈真乱呀#罗志祥周扬青分手##罗志祥回应#这个瓜简直刷新我认知额简直惊呆啦？吃了一天的瓜我都还没有看完还有其他的瓜搬好小板凳集美们，一起吃瓜吧又一次刷新认知了,兴宁市,,"412页pdf,罗志祥周扬青分手,罗志祥回应",0,104,14,2020-04-24 13:59,vivo AI智慧拍照X21i,"['http://ww1.sinaimg.cn/large/006kRnDzgy1ge4tfgu803j30u01rc4du.jpg', 'http://ww1.sinaimg.cn/large/006kRnDzgy1ge4tfhhiq0j30u01rc41d.jpg', 'http://ww3.sinaimg.cn/large/006kRnDzgy1ge4tfij33nj30u01rctgo.jpg', 'http://ww4.sinaimg.cn/large/006kRnDzgy1ge4tfjpxgnj30u01rcakd.jpg', 'http://ww1.sinaimg.cn/large/006kRnDzgy1ge4tfkqxqzj30u01rc141.jpg']",,
